Influent pH,Influent NH4+-N,Influent TN,Influent Flowrate,Wastewater Temperature,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Effluent COD,Effluent TN,Energy Consumption,External Carbon Source
7.44,22.66,24.12,44041.28,24.32,7.01,34.47,50.61,8.44,6.88,24.61,6.05,22.67,5.88,16361.17,3.54
7.45,23.14,23.98,43918.81,24.45,6.73,35.11,49.72,7.96,6.89,25.31,5.54,23.12,5.74,16241.46,3.65
7.48,25.28,27.08,44617.91,25.19,7.40,33.10,47.97,7.18,6.87,26.53,5.92,20.02,4.68,16240.00,3.65
7.45,23.23,25.09,44537.69,24.27,7.13,35.01,49.63,8.37,6.89,24.49,6.05,22.73,5.91,16374.44,3.36
7.27,14.91,16.80,65572.45,28.43,8.98,12.47,24.53,6.68,0.14,24.07,5.61,17.27,5.60,20750.00,1.64
7.25,14.85,16.82,66051.00,28.53,8.90,12.31,23.77,5.89,0.13,24.66,5.60,16.91,5.04,20588.39,1.37
7.20,13.93,18.11,67725.36,29.00,9.02,12.67,20.08,8.58,0.14,19.55,5.46,14.58,5.58,20579.78,1.37
7.26,15.61,17.97,65844.40,28.40,9.26,12.24,23.20,6.35,0.13,23.96,5.44,16.68,5.64,20722.57,1.54
7.31,40.84,46.21,31718.69,20.29,7.75,18.90,72.95,10.42,0.08,40.51,6.74,28.35,5.69,18311.98,2.86
7.27,32.03,36.23,32581.19,18.73,9.12,14.79,59.69,7.79,0.08,41.39,5.29,31.47,5.68,18050.00,3.61
7.32,36.67,40.81,31310.38,19.03,7.99,19.41,71.86,8.95,0.08,42.90,6.30,26.64,5.71,18039.31,3.20
7.32,38.14,41.94,31242.85,19.41,8.08,19.33,73.71,9.18,0.08,42.45,6.49,26.94,5.78,18122.72,3.10
7.18,27.14,33.29,41245.28,26.31,6.44,17.61,57.74,11.38,0.13,38.55,10.66,22.45,5.81,17736.38,3.22
7.18,28.42,33.69,44037.51,26.23,7.11,17.28,56.48,10.19,0.07,41.75,9.86,21.55,5.88,17996.46,2.74
7.16,29.77,34.48,47702.50,26.15,8.01,16.58,55.52,8.44,0.08,45.81,8.87,20.15,5.97,18258.53,2.14
7.18,27.20,33.21,41105.06,26.29,6.43,17.95,57.32,11.36,0.03,38.52,10.59,22.62,5.80,17875.09,3.17
7.06,17.32,21.75,47865.97,27.16,3.52,18.05,41.49,10.39,4.14,27.13,14.78,32.31,5.84,14842.59,2.55
7.07,17.50,21.31,47983.18,27.19,3.48,18.09,41.94,10.60,4.19,27.21,14.97,32.04,5.82,14848.50,2.56
7.07,17.77,21.40,47270.80,27.07,3.61,18.22,42.04,10.23,4.19,27.14,14.79,32.06,5.83,14816.16,2.64
7.06,17.85,21.45,47336.99,27.12,3.52,18.00,41.81,10.23,4.29,27.07,15.08,32.05,5.82,14928.72,2.65
7.57,26.28,27.08,36534.89,19.60,7.82,21.52,47.05,12.36,0.83,35.56,4.78,22.74,5.11,11989.64,2.51
7.45,28.76,29.70,37562.41,19.24,5.98,22.89,56.28,15.16,1.18,38.32,9.80,17.45,5.87,11451.39,2.53
7.46,28.44,29.24,37113.71,19.34,6.20,22.79,54.81,14.71,1.02,38.17,9.03,18.16,5.74,11569.83,2.54
7.50,36.29,37.01,39183.89,18.60,5.71,24.64,55.55,17.67,0.92,39.07,10.88,21.14,6.01,12483.04,2.28
7.03,29.00,31.58,45519.26,18.61,3.77,13.16,20.87,16.45,1.56,22.44,11.82,26.51,5.89,16525.50,2.05
7.06,29.14,31.62,46147.65,18.54,3.68,13.12,21.54,16.56,1.55,22.72,11.76,26.68,5.87,16397.63,2.06
7.05,29.31,31.56,44710.32,18.66,3.62,13.11,21.37,16.55,1.53,22.62,11.66,26.80,5.88,16350.94,2.04
7.05,29.33,31.56,45226.40,18.65,3.74,13.26,21.72,16.51,1.52,22.34,11.73,26.88,5.89,16503.92,2.01
7.18,29.84,39.71,43811.47,26.26,8.47,14.54,77.22,6.01,0.20,49.82,7.43,23.09,5.92,18141.62,5.01
7.19,28.78,36.25,42515.42,26.30,7.38,16.32,66.83,8.86,0.07,44.04,9.12,22.74,5.86,17943.05,4.06
7.18,30.51,39.70,44154.18,26.28,8.49,15.03,77.40,6.05,0.13,49.95,7.42,22.84,5.91,18190.26,5.03
7.17,30.35,38.46,45365.52,26.25,8.45,15.09,71.61,6.36,0.08,49.41,7.71,21.99,5.94,18177.59,4.19
7.36,12.89,15.22,67091.84,28.97,9.96,11.98,33.32,7.11,0.14,24.77,5.33,17.83,5.60,21079.37,1.82
7.25,14.54,16.38,66178.03,28.61,8.90,12.18,25.09,5.77,0.13,24.84,5.59,16.73,4.68,20516.49,1.38
7.32,13.65,15.02,65346.49,28.60,9.26,12.23,31.51,7.69,0.15,23.96,5.52,17.32,5.53,20836.81,2.19
7.36,12.52,15.39,66898.86,28.91,10.15,11.66,32.51,6.63,0.14,26.09,5.09,17.69,5.83,21119.63,1.90
7.53,22.04,23.56,50032.15,19.63,10.17,19.40,32.47,10.39,4.16,15.30,7.94,17.46,4.70,13972.18,2.60
7.57,21.25,22.77,42791.76,19.67,9.98,22.45,34.29,13.33,4.09,16.72,10.00,15.70,5.67,14265.13,2.58
7.54,19.91,22.54,42110.44,19.63,9.93,23.40,32.69,13.56,3.99,18.12,10.39,15.89,5.42,14389.01,2.88
7.61,22.60,23.05,43461.84,19.59,9.99,21.53,36.20,13.01,4.30,15.28,9.67,15.29,5.93,14128.53,2.29
7.45,21.69,23.91,44802.75,24.74,8.25,32.51,53.83,8.79,6.91,24.38,6.90,20.26,6.32,16658.60,3.27
7.48,23.33,23.36,44438.34,25.27,7.39,34.65,50.88,7.05,6.94,26.94,5.13,21.65,5.82,16249.23,3.65
7.49,23.53,25.96,45821.99,24.78,8.25,34.44,50.59,8.05,6.94,24.93,6.32,20.85,6.21,16554.34,2.98
7.46,21.91,23.75,44843.91,24.93,8.25,32.68,53.68,8.45,6.92,24.94,6.63,20.19,6.28,16612.55,3.31
7.38,28.36,32.15,65243.24,28.02,5.87,19.27,54.32,10.28,0.13,41.86,8.56,22.89,5.96,21905.70,4.11
7.06,25.74,29.17,66111.86,29.23,9.02,17.59,48.90,9.03,0.13,39.24,6.90,22.24,5.62,22279.29,4.11
7.39,28.48,32.22,65051.94,27.98,5.84,19.29,54.25,10.30,0.18,41.87,8.66,22.90,5.96,21839.10,4.10
7.13,26.37,29.87,65905.77,28.94,8.27,17.99,50.19,9.33,0.13,39.87,7.30,22.39,5.70,22190.65,4.11
7.37,10.79,12.54,65843.71,28.59,10.06,14.86,41.79,8.36,0.13,25.29,5.80,19.00,5.94,20277.32,2.71
7.34,11.08,12.21,66724.41,28.89,10.62,13.85,28.60,5.47,0.13,24.44,5.25,15.27,4.46,20489.65,4.05
7.35,11.98,13.41,65481.90,28.56,9.66,13.94,37.85,8.23,0.14,24.55,5.75,18.33,5.75,20452.96,2.55
7.37,10.74,12.67,66024.49,28.63,10.14,14.70,41.57,8.20,0.13,25.51,5.74,18.99,5.96,20332.13,2.66
7.61,15.58,18.30,53663.47,19.84,10.60,17.52,32.25,5.39,4.79,15.92,3.84,22.99,5.98,13451.36,2.28
7.61,18.18,20.30,49716.46,19.76,10.37,19.11,33.39,8.38,4.53,15.79,6.14,20.16,5.96,13698.48,2.28
7.61,22.10,22.69,44191.35,19.71,10.07,21.23,35.61,12.56,4.23,15.36,9.21,16.03,5.93,14089.64,2.28
7.57,16.21,19.01,53781.19,19.80,10.58,17.28,32.98,6.37,4.75,17.28,4.64,23.51,5.30,13537.62,2.28
7.16,30.70,34.92,49751.84,26.09,8.48,15.99,55.09,7.58,0.05,47.83,8.36,19.38,6.03,18328.20,1.84
7.17,29.27,34.19,46362.41,26.18,7.68,16.83,55.87,9.08,0.08,44.32,9.23,20.67,5.94,18162.70,2.36
7.17,28.57,33.78,44460.59,26.22,7.21,17.20,56.37,9.98,0.07,42.21,9.74,21.39,5.89,18026.71,2.67
7.15,30.29,34.65,49597.76,26.12,8.51,16.15,55.33,7.49,0.08,48.00,8.28,19.38,6.18,18400.00,1.91
7.19,36.38,38.25,27322.45,27.84,5.43,31.13,63.28,12.48,0.05,39.81,10.36,21.10,6.03,18010.69,3.17
7.19,36.46,37.97,27158.56,27.76,5.38,31.28,62.68,12.62,0.09,39.92,10.35,20.85,6.02,18126.87,3.16
7.19,36.54,38.14,28229.96,27.98,5.50,31.38,62.52,12.44,0.02,39.99,10.30,20.98,6.04,18198.33,3.17
7.18,36.62,38.14,27576.05,27.89,5.56,31.05,63.33,12.37,0.10,39.99,10.31,21.20,6.02,18133.92,3.28
7.53,38.17,39.16,39640.31,18.44,5.68,25.04,55.55,18.24,0.81,39.35,11.27,22.27,6.07,12801.34,2.16
7.53,38.44,38.98,39932.59,18.36,5.59,24.92,55.51,18.37,0.90,39.14,11.14,22.25,6.07,12601.64,2.20
7.52,38.64,39.14,39979.15,18.43,5.74,25.29,55.45,18.44,0.87,39.00,11.15,22.34,6.06,12726.27,2.21
7.52,38.25,39.02,39821.53,18.51,5.64,25.06,55.10,18.33,0.89,39.17,11.23,22.22,6.06,12733.07,2.19
7.12,24.53,29.83,40062.27,19.35,7.16,18.37,46.84,10.73,0.08,35.83,8.57,24.12,6.19,17884.82,2.10
7.09,22.64,28.93,40295.04,19.41,7.04,18.75,44.55,13.08,0.15,41.03,9.59,26.62,6.07,17664.52,2.77
7.08,22.58,28.72,39727.58,19.50,7.13,18.76,44.11,13.06,0.17,40.53,9.48,26.66,6.09,17672.89,2.79
7.08,22.90,28.59,40183.25,19.31,7.04,18.91,44.46,12.91,0.05,40.78,9.41,26.79,6.05,17600.10,2.69
6.87,21.21,24.10,53573.13,28.77,2.95,26.09,57.34,8.95,2.29,33.13,5.66,27.30,5.35,17667.65,4.03
6.87,21.93,24.18,51580.85,28.93,1.84,28.52,66.79,10.93,0.79,37.36,8.47,27.28,5.51,16844.67,3.87
6.85,19.77,23.44,47696.38,28.64,1.53,30.02,64.65,11.58,1.49,34.00,8.64,25.61,5.83,16722.95,3.82
6.88,18.28,22.11,49178.41,28.54,1.28,28.77,66.20,12.61,0.70,36.66,9.50,26.72,6.10,16985.39,3.63
7.48,31.94,31.42,35573.73,19.09,6.62,24.16,35.73,23.41,1.59,28.37,12.65,32.59,6.16,14146.09,2.53
7.49,32.47,31.58,36343.22,19.19,6.60,24.33,36.97,23.52,1.68,27.62,12.70,32.62,6.16,14241.88,2.51
7.50,32.39,31.32,35673.55,19.07,6.62,24.61,36.14,23.44,1.58,27.84,12.61,32.64,6.17,14270.73,2.57
7.49,32.29,31.57,36032.42,19.08,6.68,24.37,36.39,23.54,1.65,27.88,12.65,32.50,6.17,14330.05,2.62
6.97,26.50,31.30,44700.09,28.53,2.18,30.02,61.37,9.58,2.72,28.74,8.33,23.94,5.82,17166.75,3.86
6.89,26.38,28.05,52880.29,29.18,2.42,28.14,66.24,9.13,1.15,36.82,7.67,27.32,5.06,16892.09,4.05
7.15,28.97,34.39,44251.34,28.41,2.44,28.94,61.01,9.51,2.57,28.26,9.16,24.05,6.09,17598.49,3.72
6.95,26.14,30.90,44735.75,28.55,2.16,30.18,61.35,9.59,2.73,28.79,8.24,23.90,5.78,17098.18,3.88
7.46,29.32,31.44,26450.81,18.53,5.95,27.22,30.03,6.86,6.25,30.37,6.32,31.38,6.24,7477.26,0.83
7.45,29.49,31.39,26191.93,18.74,5.99,27.43,29.31,6.83,6.28,30.75,6.24,31.45,6.23,7412.14,0.86
7.44,29.37,31.24,25977.69,18.61,5.93,27.38,29.53,6.94,6.29,30.70,6.25,31.52,6.22,7533.72,0.84
7.45,29.82,30.86,25891.43,18.63,5.98,27.07,29.25,6.84,6.24,30.38,6.28,31.43,6.23,7549.44,0.86
7.26,26.71,29.13,64534.54,28.40,8.53,18.00,36.80,8.54,0.13,36.41,7.95,18.14,5.57,22039.00,2.97
7.24,27.24,29.80,64283.67,28.40,8.67,18.00,34.33,8.02,0.13,36.94,8.04,18.50,5.75,22154.26,3.03
7.25,26.92,29.39,64435.69,28.40,8.59,18.00,35.83,8.33,0.13,36.62,7.98,18.28,5.64,22084.41,3.00
7.29,26.89,29.16,66782.15,28.58,8.54,18.90,34.57,7.79,0.13,33.71,8.33,19.31,5.05,21909.80,1.96
7.31,18.87,20.96,50419.84,19.32,9.25,23.91,28.62,11.36,5.00,16.50,9.90,18.21,6.13,14548.90,1.46
7.31,17.48,20.99,48013.77,19.34,9.32,24.93,27.50,12.05,4.69,18.48,10.46,18.00,5.69,14665.78,2.08
7.13,16.51,19.74,54289.50,19.10,8.79,25.44,24.19,10.39,5.45,17.42,10.14,19.79,6.21,14803.90,1.03
7.41,18.04,21.71,44366.15,19.48,9.62,24.64,29.43,13.01,4.25,19.10,10.65,16.95,5.39,14585.50,2.69
7.63,9.45,9.91,27758.33,17.26,8.54,17.68,31.72,10.57,4.37,24.56,10.41,24.09,6.31,9648.23,2.44
7.63,9.62,9.86,28506.57,17.21,8.57,17.81,32.29,10.54,4.42,24.87,10.35,24.20,6.29,9612.90,2.42
7.64,9.32,9.85,27619.78,17.34,8.62,17.53,31.90,10.54,4.35,25.01,10.48,24.16,6.28,9630.73,2.44
7.64,9.34,10.04,28166.81,17.32,8.57,17.56,31.81,10.52,4.40,25.10,10.52,24.26,6.26,9573.03,2.40
7.44,21.49,24.45,44841.90,24.38,8.24,32.40,53.75,9.36,6.89,23.40,7.34,20.48,6.39,16733.27,3.15
7.48,24.47,27.45,45535.50,24.70,7.96,33.76,48.93,8.06,6.89,24.87,6.55,20.42,5.19,16483.77,3.12
7.46,23.33,25.87,45096.21,24.24,7.53,34.86,49.73,8.55,6.90,24.09,6.38,22.20,6.06,16479.21,3.13
7.45,19.91,24.49,46051.69,24.16,7.49,33.73,46.05,9.32,6.98,23.57,6.60,19.55,5.26,16493.81,3.34
7.24,15.46,18.15,46924.19,18.63,9.08,26.40,22.64,11.80,4.91,14.21,10.73,15.34,5.97,14589.09,1.61
7.14,14.32,16.51,49498.64,18.24,8.76,27.05,19.25,10.85,5.34,11.90,10.60,15.09,6.27,14599.41,0.96
7.13,14.33,16.63,49958.46,18.29,8.72,27.12,19.39,10.83,5.39,12.35,10.64,15.50,6.32,14639.87,0.91
7.32,16.40,19.44,45204.24,18.93,9.32,25.78,25.24,12.42,4.59,15.89,10.75,15.58,5.71,14567.62,2.10
7.15,26.94,29.04,44011.92,18.89,4.93,15.80,44.79,9.77,1.58,28.73,9.30,24.84,5.51,16576.87,1.76
7.17,26.63,31.38,39546.62,19.33,7.30,17.75,49.69,8.11,0.06,29.74,7.59,21.17,6.33,18076.08,1.46
7.09,23.06,28.92,40028.29,19.39,7.08,18.64,44.88,12.56,0.08,39.91,9.30,26.19,6.09,17696.06,2.61
7.14,27.07,28.30,45410.24,18.74,4.09,15.01,43.07,10.34,2.11,28.23,9.93,26.15,5.22,16013.11,1.91
7.13,22.43,25.04,45825.20,26.68,9.01,14.12,68.48,7.51,0.02,47.98,6.44,18.75,6.34,18424.73,5.53
7.14,29.11,33.26,49125.72,26.20,8.58,15.88,57.21,7.51,0.08,48.00,8.01,19.25,6.18,18400.00,2.43
7.12,22.41,25.35,46442.28,26.68,8.99,14.35,67.87,7.59,0.08,48.00,6.49,18.52,6.18,18400.00,5.39
7.11,22.32,25.14,46126.21,26.66,8.90,14.34,67.99,7.66,0.05,47.94,6.41,18.43,6.33,18446.40,5.43
7.24,25.04,29.11,16645.13,18.35,9.08,25.57,41.15,6.39,6.18,31.19,6.98,38.50,5.62,5320.30,0.73
7.62,15.26,19.30,10353.78,17.74,7.96,24.43,45.84,6.86,5.37,26.39,8.81,35.59,6.34,4151.44,0.81
7.61,15.18,19.22,10388.73,17.79,8.11,24.06,45.72,7.01,5.46,26.47,8.75,35.82,6.32,4097.82,0.80
7.45,29.00,30.96,25679.77,18.57,5.96,27.21,30.37,6.83,6.26,30.39,6.30,31.62,6.23,7346.89,0.82
9.20,44.17,45.50,3781.79,19.73,5.40,22.96,37.41,10.16,2.16,26.62,8.24,22.05,6.38,8073.14,6.57
9.19,44.02,45.61,4080.81,19.74,5.38,22.90,37.64,10.38,2.15,26.58,8.33,22.20,6.39,8123.95,6.67
9.19,44.35,45.97,4115.34,19.66,5.39,23.23,37.47,10.21,2.06,26.77,8.27,22.03,6.38,8167.26,6.62
9.20,44.22,45.73,3562.26,19.77,5.46,23.11,37.85,10.34,2.12,27.07,8.25,22.13,6.38,8245.75,6.58
7.27,35.37,41.13,31593.51,18.43,8.35,17.73,63.46,7.48,0.08,41.81,6.17,29.49,5.90,17853.35,2.55
7.28,35.42,42.22,31920.02,18.71,7.53,19.15,64.69,9.45,0.08,42.17,6.28,28.43,5.62,17907.13,2.95
7.28,35.58,41.98,31761.18,18.62,7.72,19.18,65.04,9.24,0.08,42.36,6.43,28.90,5.76,17859.70,2.83
7.25,34.79,41.28,31924.79,18.58,8.23,16.76,61.52,6.95,0.08,40.94,5.59,28.55,5.60,17979.38,2.71
7.51,23.38,22.66,45118.40,26.21,8.29,33.83,52.65,6.12,7.01,28.65,4.82,19.68,5.98,16305.43,3.62
7.51,23.30,22.72,45102.43,26.14,8.28,33.76,52.71,6.26,7.00,28.44,4.92,19.71,6.00,16323.30,3.60
7.45,22.58,25.23,44752.79,24.68,8.05,32.31,52.25,8.71,6.88,24.40,6.98,20.06,5.61,16597.57,3.32
7.46,22.67,26.06,45555.38,24.28,8.23,33.69,51.49,9.07,6.90,23.40,7.11,20.96,6.34,16690.35,2.91
7.03,39.66,40.24,45583.16,24.57,1.03,12.37,77.11,11.84,3.07,39.04,6.93,29.16,6.41,15020.45,2.10
7.02,39.77,40.71,45728.63,24.67,0.90,12.57,76.35,11.98,3.05,38.89,6.90,28.99,6.43,15080.88,2.06
7.04,40.00,40.60,45622.75,24.45,0.98,12.54,76.84,11.83,3.10,39.07,6.81,29.20,6.43,14955.86,1.97
7.03,39.71,40.58,45285.30,24.78,0.96,12.49,77.10,11.92,3.02,38.88,6.99,29.18,6.41,15162.15,2.03
7.48,23.85,27.01,44697.73,22.57,7.52,33.43,44.11,7.33,6.89,24.32,6.46,19.82,4.80,16381.38,3.46
7.46,21.21,25.96,44612.75,18.87,7.47,34.60,39.71,7.91,6.91,20.83,7.10,20.73,6.41,16583.83,3.17
7.45,21.71,25.35,44320.01,20.34,7.18,34.78,42.35,7.94,6.90,22.02,6.65,21.53,6.21,16475.97,3.33
7.45,21.15,25.46,44589.27,20.10,7.64,33.98,43.06,8.26,6.90,21.40,7.18,20.62,6.41,16621.49,3.19
7.29,38.23,38.57,24240.95,18.60,6.06,23.53,31.36,18.59,5.44,22.23,11.45,24.23,6.44,11561.35,1.61
7.32,37.64,39.55,24525.42,18.21,6.95,24.58,32.68,19.68,5.15,22.74,13.47,22.85,5.83,11509.61,1.90
7.28,37.98,38.77,24460.32,18.73,6.29,23.13,31.55,18.73,5.40,22.24,11.24,24.13,6.47,11601.43,1.57
7.28,38.28,38.69,24598.16,18.77,6.20,23.53,31.41,18.63,5.35,22.05,11.46,24.58,6.47,11493.70,1.68
7.69,23.46,25.83,36358.06,19.66,9.25,18.36,46.57,12.12,2.71,31.79,5.79,25.28,5.52,13711.15,2.60
7.07,22.60,28.42,40140.80,19.42,7.03,18.64,44.03,13.06,0.08,40.95,9.46,26.62,6.04,17749.43,2.74
7.14,30.43,34.65,49382.81,26.13,8.48,16.44,55.24,7.44,0.13,48.12,8.35,19.72,5.99,18498.83,1.89
7.38,28.37,32.38,65289.49,28.05,5.85,19.36,54.38,10.33,0.21,41.69,8.59,23.04,5.98,21861.50,4.13
7.36,11.81,14.32,67132.42,28.96,10.49,12.32,31.08,5.98,0.13,25.88,5.06,16.83,5.37,20949.47,2.64
7.33,37.08,40.33,31073.76,19.07,8.20,19.50,73.88,8.71,0.08,43.18,6.39,26.41,5.80,18049.41,3.20
7.07,17.51,21.23,47413.09,27.30,3.58,18.40,41.75,10.25,4.22,27.12,14.88,32.22,5.84,14771.81,2.63
6.88,18.60,21.87,49460.71,28.61,1.43,28.70,65.95,12.34,0.79,36.36,9.15,26.83,6.05,16990.96,3.68
7.54,16.92,19.36,53894.51,19.80,10.56,17.01,33.99,7.20,4.76,18.29,5.22,23.86,4.72,13639.21,2.28
7.44,22.94,24.11,43903.89,24.31,6.76,34.93,49.92,8.25,6.88,24.85,5.78,23.13,5.78,16285.59,3.61
7.56,18.18,20.86,53302.31,19.71,10.43,17.99,31.45,7.07,4.48,15.75,5.38,21.01,5.19,13628.61,2.48
7.19,26.24,28.94,66720.12,28.90,8.79,18.37,40.92,8.35,0.13,35.69,7.69,20.53,5.21,22040.15,2.79
6.97,25.79,30.83,44860.01,28.24,2.56,27.41,57.65,9.82,1.87,28.20,9.08,24.92,5.29,18817.38,3.66
7.01,30.57,33.50,51849.58,29.13,8.24,15.78,42.61,10.34,0.13,38.08,6.70,20.58,4.71,19314.81,3.55
7.18,35.39,38.93,34106.97,28.11,6.08,30.87,63.91,12.29,0.07,42.67,10.22,19.25,5.89,18495.78,3.19
7.10,22.01,23.62,21968.04,29.56,8.31,20.05,43.04,11.66,0.13,35.52,7.63,19.25,5.59,17344.41,6.34
7.36,12.74,15.28,67146.41,28.97,10.05,11.88,33.20,6.94,0.14,25.19,5.25,17.83,5.67,21105.89,1.82
7.27,15.56,17.67,65982.83,28.52,9.54,11.76,26.89,6.40,0.13,23.69,5.25,15.59,4.84,20539.80,1.73
7.19,27.77,32.90,41369.24,26.20,6.44,17.85,57.13,11.47,0.05,38.89,10.56,22.74,5.83,17731.90,3.18
7.49,32.21,31.40,35578.42,19.19,6.61,24.29,36.16,23.37,1.61,27.84,12.77,32.76,6.15,14230.22,2.51
6.87,21.06,23.57,50980.74,28.85,1.71,28.61,66.74,11.34,0.77,37.17,8.70,27.16,5.66,16868.22,3.82
7.36,12.90,13.87,66360.98,28.79,9.47,13.66,37.21,8.51,0.14,22.65,5.94,18.33,5.36,20634.15,2.15
7.26,26.55,28.91,66994.94,28.70,8.59,18.79,37.15,8.06,0.13,34.02,8.12,19.70,5.01,21912.66,2.14
7.31,35.12,38.71,31652.52,18.94,8.57,17.67,68.43,8.35,0.08,42.49,5.96,28.38,5.68,18050.00,3.36
7.07,29.69,33.18,49698.19,29.32,7.98,14.80,43.05,7.98,0.13,39.39,6.34,21.42,4.55,18455.82,3.96
7.32,19.00,22.76,66814.04,28.12,9.37,15.13,67.50,7.08,0.22,38.50,5.57,36.57,5.66,22047.99,3.67
7.27,34.36,41.28,32335.51,18.86,7.58,18.11,62.81,9.41,0.08,41.68,5.81,28.42,5.38,18010.27,3.28
7.18,30.37,39.46,43823.63,26.29,8.41,14.77,77.04,5.87,0.07,49.92,7.43,23.13,5.91,18121.73,5.02
7.32,22.73,24.44,66055.55,28.85,9.51,13.06,33.28,9.26,0.13,24.61,7.31,14.29,5.67,20568.66,2.11
7.34,21.78,24.21,66389.18,28.32,10.35,12.83,41.85,8.16,0.13,26.70,6.14,16.37,5.52,20517.60,2.66
6.82,23.99,26.70,49661.52,29.00,2.15,30.06,64.08,9.44,1.93,33.77,7.35,25.64,5.11,16538.77,4.11
7.49,21.54,23.59,52882.62,19.61,10.24,18.46,31.03,9.07,4.17,15.33,7.09,18.50,4.24,13880.43,2.72
7.61,14.13,16.83,14282.87,18.46,8.22,25.01,48.22,6.23,5.57,27.89,7.82,34.45,5.73,5018.94,0.75
7.48,23.41,27.08,46007.79,24.21,8.23,34.51,50.06,8.89,6.91,23.40,6.97,21.26,6.31,16663.14,2.76
7.14,27.04,27.94,45688.79,18.65,3.92,14.75,42.98,10.41,2.18,28.29,10.12,26.73,5.14,15663.29,1.92
7.13,25.19,30.32,46548.91,18.79,4.55,15.77,59.48,9.64,3.83,31.70,5.49,18.70,5.67,16150.21,1.97
7.70,14.70,18.25,44582.38,24.17,8.63,32.47,56.87,7.74,7.02,28.18,7.83,16.79,5.09,16428.36,3.80
7.04,30.28,34.60,20694.10,18.71,9.68,26.42,38.00,6.18,6.59,33.36,5.99,40.16,5.24,6019.98,0.71
7.26,19.14,20.62,69274.03,28.87,14.44,13.15,44.57,7.14,0.08,31.31,5.36,21.60,4.80,21687.75,3.08
7.65,24.22,26.04,36535.30,19.65,8.89,19.56,45.29,11.77,1.80,33.00,4.49,24.92,5.21,12897.99,2.56
7.68,13.06,17.35,44963.37,24.11,8.36,32.26,53.22,9.90,7.03,27.49,8.64,17.27,4.92,16343.70,4.04
7.52,38.51,39.27,39778.96,18.49,5.65,25.14,54.96,18.42,0.91,39.23,11.07,22.12,6.09,12773.88,2.24
7.35,14.20,14.70,66616.55,28.90,9.11,12.90,34.29,8.59,0.15,21.10,6.02,17.90,5.02,20849.80,1.82
7.48,24.54,26.79,44787.63,25.12,7.77,32.49,49.42,7.64,6.88,25.92,6.38,19.54,4.41,16379.81,3.52
7.31,14.58,15.81,65036.97,28.48,9.30,12.15,30.95,7.89,0.15,23.05,5.47,16.56,5.38,20720.88,2.28
6.98,36.07,39.15,54452.08,28.30,8.49,19.90,41.81,15.17,0.20,36.07,7.34,22.38,5.25,20203.10,2.75
7.27,35.08,42.63,32218.68,18.89,7.21,18.98,63.86,9.70,0.08,41.75,5.95,27.54,5.45,18000.00,3.17
7.06,28.94,31.02,45339.12,18.62,3.71,13.38,24.90,15.51,1.67,23.51,11.52,26.67,5.76,16327.58,2.02
7.46,23.98,25.31,44145.08,24.66,6.93,34.35,48.88,7.74,6.88,25.62,5.74,22.02,4.68,16240.00,3.65
7.35,14.19,14.71,66555.19,28.89,9.11,12.88,34.19,8.57,0.15,21.18,6.01,17.87,5.04,20846.30,1.84
7.21,15.49,17.40,48432.40,18.45,8.93,26.35,21.68,11.26,5.18,12.37,10.52,15.08,6.26,14541.55,1.13
7.36,37.26,40.94,25046.76,17.50,7.79,25.93,34.30,21.03,4.84,23.25,16.21,20.89,5.07,11340.36,2.23
7.17,26.55,31.06,40395.61,19.34,7.18,18.04,49.31,8.25,0.09,30.46,7.61,21.24,6.33,18146.80,1.35
7.32,16.30,20.12,66931.76,29.27,12.39,13.07,35.61,10.91,0.09,29.09,6.03,21.20,4.56,21424.36,2.74
7.44,28.56,29.68,37225.38,19.24,5.82,22.92,56.06,15.15,1.09,38.75,9.74,17.29,5.85,11392.79,2.55
7.29,40.51,46.71,31948.40,20.25,7.72,18.25,70.15,10.11,0.08,39.86,6.56,28.87,5.63,18313.87,2.74
7.02,27.78,30.81,61632.04,29.14,8.93,17.22,45.34,10.06,0.13,38.29,6.96,21.23,5.37,21514.45,3.74
7.61,14.94,18.77,10083.00,17.76,8.08,24.07,46.43,6.83,5.50,26.73,8.75,35.85,6.34,4240.17,0.82
6.87,19.27,22.97,48196.17,28.48,1.66,28.30,63.48,12.00,0.82,34.50,9.30,26.48,5.69,17634.88,3.66
7.52,15.30,17.70,43860.00,25.30,7.43,33.50,42.20,6.85,7.07,24.60,4.18,22.40,3.32,16640.00,3.65
7.49,25.80,27.80,44810.00,25.40,7.59,32.60,47.60,6.95,6.87,26.90,5.99,19.20,3.64,16240.00,3.65
7.42,15.30,21.00,46041.00,24.10,6.53,32.60,41.10,9.89,7.06,23.80,6.15,17.30,3.91,16280.00,4.11
7.49,21.80,23.80,52850.00,19.60,10.23,18.50,31.00,9.23,4.15,15.30,7.22,18.30,4.17,13900.00,2.74
7.05,29.90,33.50,47060.00,29.50,7.78,14.20,45.90,8.22,0.13,39.60,5.97,21.80,4.23,17700.00,4.11
7.31,17.40,21.60,67130.00,29.40,12.83,12.70,34.30,11.40,0.08,29.80,6.07,21.60,4.29,21650.00,2.74
7.26,22.00,24.40,65140.00,29.40,13.20,13.50,42.00,10.00,0.08,33.20,7.54,19.40,4.34,21650.00,3.19
